City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,iskateley,100,RU,1564272064,97,67.68,67.68,40.92,6.46
89,cururupu,5,BR,1564271915,94,-1.82,-1.82,73.14,2.42
90,gao,56,ML,1564272064,37,16.28,16.28,92.76,16.82
91,laguna,40,BZ,1564272065,66,16.17,16.17,86.0,6.93
92,bambous virieux,75,MU,1564271910,94,-20.34,-20.34,71.6,13.87
93,beyneu,39,KZ,1564272065,51,45.32,45.32,76.02,12.48
94,mount gambier,90,AU,1564271969,87,-37.83,-37.83,48.2,8.05
95,lebu,100,ET,1564271928,84,8.96,8.96,56.4,3.71
96,clyde river,90,CA,1564271930,100,70.47,70.47,41.0,14.99
97,keetmanshoop,50,NA,1564272065,16,-26.57,-26.57,66.2,13.87
98,idritsa,10,RU,1564272065,90,56.33,56.33,63.42,1.92
99,port alfred,22,ZA,1564271897,9,-33.59,-33.59,74.04,21.0
100,saskylakh,94,RU,1564271918,52,71.97,71.97,51.36,14.27
101,teahupoo,20,PF,1564272066,62,-17.83,-17.83,84.2,5.82
102,platteville,75,US,1564271806,69,42.73,42.73,86.0,10.29
103,conchas,65,BR,1564272032,60,-23.02,-23.02,63.96,2.26
104,contamana,1,PE,1564272066,95,-7.35,-7.35,70.26,1.74
105,kampong thum,100,KH,1564272066,84,12.71,12.71,76.74,7.76
106,ilheus,40,BR,1564272024,78,-14.79,-14.79,77.0,6.93
107,port elizabeth,1,US,1564271875,74,39.31,39.31,84.99,13.87
108,rawson,60,AR,1564271893,38,-43.3,-43.3,48.12,14.12
109,cherskiy,40,RU,1564271902,47,68.75,68.75,48.48,8.63
110,moerai,86,PF,1564272067,79,-22.43,-22.43,69.9,18.16
111,carnarvon,0,ZA,1564271947,30,-30.97,-30.97,53.88,12.12
112,east london,0,ZA,1564271927,13,-33.02,-33.02,66.84,7.16
113,dicabisagan,95,PH,1564271910,88,17.08,17.08,78.0,1.36
114,erenhot,0,CN,1564272067,25,43.65,43.65,77.1,16.51
115,deputatskiy,0,RU,1564272067,51,69.3,69.3,45.24,10.6
116,lodja,43,CD,1564271925,31,-3.52,-3.52,69.9,1.66
117,amiens,90,FR,1564272068,93,49.89,49.89,62.01,8.05
118,ligayan,18,PH,1564272068,77,4.65,4.65,83.22,17.34
119,kruisfontein,0,ZA,1564271948,17,-34.0,-34.0,69.0,13.87
120,kaitangata,100,NZ,1564271921,81,-46.28,-46.28,50.0,3.0
121,inyonga,46,TZ,1564272068,50,-6.72,-6.72,54.78,4.94
122,altar,29,MX,1564272068,40,30.72,30.72,93.0,5.99
123,kodiak,1,US,1564271929,51,39.95,39.95,86.0,10.29
124,bilibino,84,RU,1564271925,59,68.06,68.06,43.8,8.16
125,tiarei,20,PF,1564272069,62,-17.53,-17.53,84.2,5.82
126,smirnykh,98,RU,1564272069,80,49.74,49.74,61.44,4.85
127,hofn,100,IS,1564272069,99,64.25,64.25,42.18,6.08
128,lakselv,92,NO,1564272069,70,70.05,70.05,50.0,14.99
129,aswan,0,EG,1564272069,25,24.09,24.09,87.8,4.7
130,jalu,0,LY,1564272070,47,29.03,29.03,76.38,7.9
131,katangli,100,RU,1564272070,90,51.71,51.71,56.04,8.16
132,ambanja,62,MG,1564272070,69,-13.68,-13.68,76.56,3.76
133,caucaia,0,BR,1564272070,78,-3.73,-3.73,86.0,13.87
134,vostok,16,RU,1564272070,61,46.45,46.45,76.56,2.98
135,ust-kulom,100,RU,1564271976,87,61.69,61.69,49.2,5.48
136,mandalgovi,0,MN,1564272070,55,45.76,45.76,59.46,17.09
137,sobolevo,37,RU,1564272071,90,54.43,54.43,62.34,4.5
138,jega,47,NG,1564272071,65,12.22,12.22,83.58,13.47
139,doha,0,QA,1564272043,70,25.29,25.29,91.4,4.7
140,surgut,0,RU,1564272071,100,61.25,61.25,48.2,6.71
141,amahai,36,ID,1564272071,87,-3.31,-3.31,76.38,12.55
142,les escoumins,0,CA,1564272071,60,48.35,48.35,70.8,6.73
143,hambantota,84,LK,1564271897,82,6.12,6.12,80.16,18.16
144,ilulissat,20,GL,1564271941,65,69.22,69.22,46.4,4.7
145,hasaki,75,JP,1564271919,100,35.73,35.73,77.0,8.05
146,san quintin,67,PH,1564272072,78,17.54,17.54,78.9,1.19
147,tucuman,0,PE,1564272072,33,-17.17,-17.17,46.68,2.35
148,lazaro cardenas,20,MX,1564272072,17,28.39,28.39,93.99,6.93
149,tondano,40,ID,1564272072,62,1.3,1.3,84.2,6.93
150,morros,0,BR,1564272072,83,-2.87,-2.87,80.6,9.17
151,norman wells,75,CA,1564271939,52,65.28,65.28,64.4,17.22
152,puerto ayora,40,EC,1564271899,73,-0.74,-0.74,73.4,16.11
153,saint-georges,7,CA,1564271957,50,46.12,46.12,79.0,1.01
154,hami,96,CN,1564271939,35,42.84,42.84,74.76,16.96
155,bindki,100,IN,1564272073,76,26.04,26.04,83.04,6.76
156,solana beach,1,US,1564272073,54,32.99,32.99,93.0,6.93
157,natal,40,BR,1564272073,88,-5.81,-5.81,73.4,4.7
158,dikson,100,RU,1564271909,96,73.51,73.51,34.98,8.72
159,mar del plata,0,AR,1564271632,46,-46.43,-46.43,41.1,7.54
160,mampong,96,GH,1564272074,93,7.06,7.06,70.62,7.23
161,east stroudsburg,1,US,1564272074,42,41.0,41.0,84.2,9.17
162,kasungu,0,MW,1564272074,85,-13.04,-13.04,51.0,7.63
163,talnakh,40,RU,1564271910,93,69.49,69.49,41.0,4.47
164,vila velha,0,BR,1564271937,78,-3.71,-3.71,86.0,13.87
165,mujiayingzi,2,CN,1564272074,62,42.12,42.12,76.2,12.37
166,bereda,0,ES,1564271979,93,43.27,43.27,60.01,1.12
167,sola,50,TZ,1564271958,40,-3.17,-3.17,60.18,5.99
168,sao joao da barra,0,BR,1564271873,88,-21.64,-21.64,68.0,2.8
169,varhaug,0,NO,1564272075,88,58.61,58.61,72.0,2.24
170,hobart,20,AU,1564271825,61,-42.88,-42.88,54.0,9.17
171,meulaboh,12,ID,1564271903,76,4.14,4.14,79.44,7.38
172,okahandja,0,NA,1564272075,17,-21.98,-21.98,55.4,4.7
173,virginia beach,1,US,1564271826,61,36.85,36.85,82.99,8.9
174,dhidhdhoo,100,MV,1564272075,75,6.88,6.88,81.96,9.22
175,ust-omchug,26,RU,1564272075,40,61.13,61.13,69.0,2.68
176,palmar,40,CO,1564272076,78,6.54,6.54,73.4,1.23
177,mtsamboro,0,YT,1564272076,78,-12.7,-12.7,77.0,19.46
178,dingle,100,PH,1564271946,81,11.0,11.0,80.52,3.87
179,cihuatlan,75,MX,1564272076,62,19.24,19.24,89.6,11.41
180,chokurdakh,100,RU,1564271918,93,70.62,70.62,37.14,7.52
181,shahrud,0,IR,1564272076,45,36.42,36.42,56.94,6.62
182,veraval,20,FR,1564272076,93,49.65,49.65,62.01,4.7
183,labuan,75,BN,1564271899,83,5.28,5.28,80.6,3.36
184,mount isa,25,AU,1564271962,30,-20.73,-20.73,71.6,9.17
185,hirara,20,JP,1564272078,83,24.8,24.8,86.0,8.05
186,sibolga,92,ID,1564272078,75,1.74,1.74,80.7,5.7
187,okhotsk,0,RU,1564271916,58,59.36,59.36,63.6,1.92
188,sao felix do xingu,29,BR,1564272078,52,-6.64,-6.64,74.22,2.68
189,hit,0,IQ,1564272078,18,33.64,33.64,84.84,13.49
190,castro,43,CL,1564271911,100,-42.48,-42.48,37.4,1.12
191,seoul,90,KR,1564272008,88,37.57,37.57,78.8,3.36
192,kokstad,0,ZA,1564272079,25,-30.55,-30.55,44.7,6.89
193,karratha,21,AU,1564271936,39,-20.74,-20.74,73.14,10.25
194,kibre mengist,98,ET,1564272079,95,5.87,5.87,53.7,2.21
195,taoudenni,0,ML,1564272079,9,22.68,22.68,98.52,5.88
196,louga,0,SN,1564272079,83,15.62,15.62,80.6,6.93
197,toledo,9,ES,1564271881,55,39.86,39.86,72.0,4.0
198,havoysund,20,NO,1564271906,87,71.0,71.0,44.6,10.29
199,tuatapere,100,NZ,1564271925,81,-46.13,-46.13,52.0,1.01
200,umm lajj,0,SA,1564272080,71,25.02,25.02,84.84,9.37
201,ponta do sol,0,BR,1564271956,57,-20.63,-20.63,60.72,4.63
202,chapais,90,CA,1564271967,73,49.78,49.78,69.8,6.93
203,betamcherla,100,IN,1564272080,81,15.47,15.47,74.04,18.1
204,sorland,60,NO,1564272080,86,67.67,67.67,55.86,21.68
205,itarema,91,BR,1564271912,76,-2.92,-2.92,77.64,8.99
206,srandakan,51,ID,1564272080,84,-7.94,-7.94,72.96,7.63
207,cabo san lucas,40,MX,1564271848,52,22.89,22.89,91.4,9.17
208,umea,0,SE,1564272081,93,63.83,63.83,62.6,2.15
209,nanortalik,67,GL,1564271765,64,60.14,60.14,47.4,10.58
210,cabedelo,40,BR,1564271920,100,-6.97,-6.97,73.4,4.7
211,kindu,74,CD,1564272081,40,-2.95,-2.95,68.64,1.99
212,torbay,20,CA,1564271898,52,47.66,47.66,68.0,13.87
213,adalaj,75,IN,1564272081,78,23.16,23.16,82.4,9.17
214,santa maria,0,BR,1564271906,48,-16.02,-16.02,66.2,10.29
215,elizabeth city,1,US,1564271951,61,36.3,36.3,82.99,4.99
